RouteDataID,CountryNum,StateNum,Route,RPID,Year,Month,Day,ObsN,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,Assistant,QualityCurrentID,RunType
6246330,840,2,22,101,2001,6,2,1160079,58,60,73,F,2,1,0,1,512,915,0,1,1
6358990,840,2,22,101,2015,6,17,1020446,34,73,83,F,0,0,0,0,510,935,0,1,1
6360834,840,2,22,101,2016,5,26,1020446,36,66,85,F,1,0,1,0,512,940,0,1,1
6167255,840,2,23,101,2000,6,3,1140013,68,64,82,F,0,0,1,0,512,958,0,1,1
6246335,840,2,23,101,2001,6,2,1140013,66,57,73,F,0,0,0,0,512,1025,0,1,1
6360333,840,2,23,101,2015,6,15,1060373,61,72,86,F,0,1,1,0,523,1014,0,1,1
6167390,840,2,24,101,2000,5,29,1030244,67,63,76,F,1,3,0,0,508,910,0,1,1
6246393,840,2,24,101,2001,6,3,1030244,64,71,77,F,2,2,2,2,508,916,0,1,1
6357067,840,2,24,101,2015,5,25,1030244,62,70,74,F,1,2,1,2,508,903,0,1,1
6361596,840,2,24,101,2016,5,26,1030244,66,64,78,F,1,1,1,0,508,909,0,1,1
6167257,840,2,25,101,2000,5,28,1140349,62,70,80,F,2,1,2,2,510,930,0,1,1
6246339,840,2,25,101,2001,6,10,1140349,71,69,80,F,1,1,0,1,508,947,0,1,1
6360332,840,2,25,101,2015,6,4,1060373,55,62,73,F,1,1,0,2,514,954,0,1,1
6362860,840,2,25,101,2016,6,13,1060373,57,75,91,F,0,1,1,0,508,1001,0,1,1
6167394,840,2,26,101,2000,6,4,1140408,65,68,82,F,0,1,0,2,508,933,1,1,1
6246395,840,2,26,101,2001,5,27,1140408,65,67,86,F,1,2,1,1,508,1017,1,1,1
6360362,840,2,26,101,2015,6,8,1060373,59,73,82,F,0,1,2,1,517,954,0,1,1
6362870,840,2,26,101,2016,6,8,1060373,51,69,78,F,0,1,1,0,523,1012,0,1,1
6166981,840,2,27,101,2000,5,27,1040579,70,70,88,F,1,2,2,0,504,925,0,1,1
6247953,840,2,27,101,2001,5,27,1040579,67,60,78,F,0,2,2,0,508,1001,0,1,1
6357657,840,2,27,101,2015,5,31,1040579,68,64,72,F,0,0,0,0,504,922,0,1,1
6362287,840,2,27,101,2016,6,8,1040579,65,67,72,F,1,2,1,0,504,922,0,1,1
6166751,840,2,28,101,2000,5,25,1000039,39,76,86,F,0,1,1,1,504,1035,1,1,1
6246616,840,2,28,101,2001,5,26,1000039,41,64,72,F,0,1,2,0,504,1016,0,1,1
6360007,840,2,28,101,2015,6,26,1020450,53,74,86,F,0,2,0,1,504,1034,0,1,1
6363220,840,2,28,101,2016,5,30,1020450,56,66,83,F,1,2,0,0,504,1044,0,1,1
6166985,840,2,29,101,2000,5,27,1030244,69,75,82,F,1,2,2,1,504,910,0,1,1
6247955,840,2,29,101,2001,5,27,1030244,67,67,72,F,0,1,2,2,504,918,0,1,1
6357061,840,2,29,101,2015,5,24,1030244,64,68,74,F,2,2,2,2,504,912,0,1,1
6361591,840,2,29,101,2016,5,29,1030244,68,64,78,F,1,1,2,1,504,912,0,0,0
6167395,840,2,31,101,2000,5,30,1150599,72,70,81,F,2,1,0,2,507,919,0,1,1
6246399,840,2,31,101,2001,5,26,1150599,68,65,76,F,0,0,1,2,507,931,0,1,1
6361663,840,2,31,101,2016,5,26,1160379,55,68,85,F,1,1,1,1,507,919,0,1,1
6246342,840,2,32,101,2001,6,14,1140426,57,74,80,F,1,1,2,1,517,923,0,1,1
6360370,840,2,32,101,2015,6,2,1060373,55,67,75,F,0,1,1,2,511,1012,0,1,1
6362873,840,2,32,101,2016,6,3,1060373,61,67,84,F,0,1,0,1,520,1020,0,1,1
6246346,840,2,33,101,2000,5,29,1090720,51,68,80,F,2,2,0,0,511,916,0,1,1
6246350,840,2,33,101,2001,6,2,1090720,62,65,78,F,0,2,0,0,511,924,1,1,1
6167399,840,2,34,101,2000,6,5,1120067,59,24,28,C,0,2,2,2,511,912,0,1,1
6246402,840,2,34,101,2001,6,8,1120067,60,72,79,F,0,2,2,1,511,929,0,1,1
6166990,840,2,35,101,2000,6,4,1160230,58,78,94,F,0,1,0,0,511,925,1,1,1
6247959,840,2,35,101,2001,6,3,1160230,51,76,87,F,0,1,2,1,511,923,1,1,1
6359545,840,2,35,101,2015,5,17,981253,49,68,82,F,1,2,2,2,518,1043,0,1,1
6361876,840,2,35,101,2016,6,12,981253,40,72,91,F,0,1,0,1,520,1015,0,1,1
6167403,840,2,36,101,2000,6,18,1040541,52,70,70,F,0,0,0,2,515,931,0,1,1
6246406,840,2,36,101,2001,6,10,1040541,51,72,77,F,0,0,2,2,515,913,0,1,1
6363223,840,2,36,101,2016,6,30,1020450,47,71,87,F,0,0,0,0,515,1030,0,1,1
6166995,840,2,37,101,2000,6,1,1150037,50,65,85,F,0,2,0,0,515,1157,0,0,0
6166754,840,2,38,101,2000,5,31,990316,54,68,82,F,1,4,1,0,515,931,0,1,1
6246620,840,2,38,101,2001,6,4,990316,53,74,83,F,1,3,2,1,515,920,0,1,1
6360142,840,2,38,101,2015,6,1,990316,56,71,70,F,0,2,2,8,515,926,0,1,1
6370489,840,2,38,101,2016,6,2,990316,55,73,79,F,1,1,1,1,515,918,0,1,1
6166758,840,2,39,101,2000,6,3,1120067,62,21,30,C,0,0,0,0,519,925,0,1,1
6246624,840,2,39,101,2001,6,7,1120067,55,72,82,F,0,2,5,2,519,939,0,1,1
6167000,840,2,41,101,2000,5,29,1080374,47,72,86,F,2,2,1,2,517,1028,0,1,1
6247963,840,2,41,101,2001,5,31,1080374,42,76,84,F,3,2,0,2,517,935,0,1,1
6167003,840,2,43,101,2000,5,29,1160197,45,63,70,F,1,2,0,0,509,855,0,1,1
6247967,840,2,43,101,2001,6,10,1160197,41,70,73,F,0,1,1,2,509,855,0,1,1
6359480,840,2,43,101,2015,6,7,1160197,40,64,82,F,0,0,0,1,509,935,0,1,1
6362285,840,2,43,101,2016,6,12,1070602,49,69,85,F,0,1,0,1,511,1000,1,1,1
6166761,840,2,45,101,2000,6,4,1070182,60,71,78,F,0,1,2,2,506,934,1,1,1
6246626,840,2,45,101,2001,6,3,1070182,62,64,74,F,0,2,2,1,506,919,0,1,1
6359944,840,2,45,101,2015,5,24,1070182,61,66,81,F,2,3,1,1,506,946,0,1,1
6362262,840,2,45,101,2016,5,22,1070182,59,63,73,F,0,1,1,0,506,937,0,1,1
6167009,840,2,46,101,2000,6,4,1020160,77,71,83,F,2,1,5,2,502,940,1,1,1
6235898,840,2,46,101,2001,6,3,1020160,75,72,85,F,2,1,2,5,502,948,1,0,0
6361293,840,2,46,101,2016,6,17,1140507,64,70,85,F,0,3,0,1,502,945,0,1,1
6167411,840,2,47,101,2000,5,26,1160079,64,72,79,F,1,3,2,1,509,937,0,1,1
6246410,840,2,47,101,2001,6,3,1160079,63,70,80,F,1,2,0,1,509,928,0,1,1
6357051,840,2,47,101,2015,5,23,980696,58,50,64,F,0,1,0,0,513,919,0,1,1
6360452,840,2,47,101,2016,5,23,980696,56,51,63,F,0,0,0,0,510,913,0,1,1
6167012,840,2,48,101,2000,5,29,1140013,67,60,80,F,0,2,0,0,519,955,0,1,1
6247970,840,2,48,101,2001,5,28,1140013,62,66,79,F,1,0,1,2,519,949,0,1,1
6359820,840,2,48,101,2015,6,25,1091285,58,72,83,F,1,1,1,1,516,930,1,1,1
6363734,840,2,48,101,2016,6,28,1091285,58,73,77,F,0,1,2,2,517,956,0,1,1
6167415,840,2,49,101,2000,6,7,990241,62,68,83,F,1,0,0,0,512,938,1,1,1
6246412,840,2,49,101,2001,6,3,990241,54,68,84,F,2,4,0,0,512,913,1,1,1
6167419,840,2,50,101,2000,6,3,1030244,65,62,75,F,1,1,0,0,508,901,0,1,1
6246416,840,2,50,101,2001,5,26,1030244,68,53,68,F,0,1,1,0,508,906,0,1,1
6357052,840,2,50,101,2015,5,23,1030244,61,60,75,F,1,3,0,0,508,903,0,1,1
6361559,840,2,50,101,2016,5,27,1030244,67,66,72,F,1,3,2,5,508,923,0,1,1
6167015,840,2,51,101,2000,5,22,1000018,40,66,86,F,0,2,4,1,504,1107,0,1,1
6248049,840,2,51,101,2001,6,11,1000018,44,74,78,F,0,0,2,2,504,1025,0,1,1
6166763,840,2,52,101,2000,6,2,990316,48,66,83,F,1,1,0,0,519,930,0,1,1
6235505,840,2,52,101,2001,6,5,990316,53,72,78,F,2,3,1,1,519,954,0,1,1
6360148,840,2,52,101,2015,5,22,990316,45,59,69,F,1,2,1,0,515,922,0,1,1
6370491,840,2,52,101,2016,6,3,990316,53,72,80,F,1,2,0,1,519,928,0,1,1
6166768,840,2,53,101,2000,5,28,990316,56,73,76,F,2,2,2,1,519,925,0,1,1
6235512,840,2,53,101,2001,5,27,990316,51,67,78,F,1,2,1,2,519,954,0,1,1
6360113,840,2,53,101,2015,6,26,990316,50,75,83,F,0,1,1,2,519,923,0,1,1
6370496,840,2,53,101,2016,6,10,990316,50,70,79,F,0,0,0,0,519,914,0,1,1
6167020,840,2,54,101,2000,6,3,1060238,45,68,90,F,0,0,0,0,531,950,1,1,1
6248053,840,2,54,101,2001,6,24,1060238,43,64,85,F,0,0,0,0,511,923,1,1,1
6357658,840,2,54,101,2015,5,16,1060238,59,70,85,F,0,0,0,1,517,924,1,1,1
6363032,840,2,54,101,2016,6,10,1060238,54,70,88,F,0,0,0,0,521,929,1,1,1
6166774,840,2,55,101,2000,6,4,1040579,63,70,90,F,0,0,1,1,523,1016,0,1,1
6246630,840,2,55,101,2001,5,29,1040579,63,62,72,F,3,2,8,2,505,954,0,1,1
6357661,840,2,55,101,2015,5,30,1040579,66,64,71,F,0,0,0,0,507,931,0,1,1
6362382,840,2,55,101,2016,6,4,1040579,67,73,80,F,0,2,2,2,507,933,0,1,1
6167423,840,2,57,101,2000,6,11,1070182,59,68,78,F,0,1,0,0,506,903,1,1,1
6246420,840,2,57,101,2001,6,10,1070182,63,62,76,F,1,1,0,0,506,906,0,1,1
6359954,840,2,57,101,2015,6,28,1070182,52,68,79,F,1,1,1,0,506,930,0,1,1
6362265,840,2,57,101,2016,5,29,1070182,59,77,82,F,1,1,2,2,506,917,0,1,1
6248057,840,2,58,101,2001,6,9,1190357,65,64,74,F,0,1,1,1,458,920,0,1,1
6359810,840,2,58,101,2015,6,19,1151241,56,71,81,F,0,1,2,1,458,1018,0,1,1
6363038,840,2,58,101,2016,5,25,1151241,54,55,77,F,0,1,0,0,458,1018,0,1,1
6167425,840,2,59,101,2000,6,3,1160079,60,66,84,F,1,2,0,1,513,924,0,1,1
6246423,840,2,59,101,2001,6,4,1160079,58,71,83,F,2,2,1,2,513,918,0,1,1
6357043,840,2,59,101,2015,5,20,980696,55,62,72,F,0,0,1,0,513,918,0,1,1
6360443,840,2,59,101,2016,5,22,980696,52,52,67,F,0,2,0,0,513,920,0,1,1
6166777,840,2,60,101,2000,6,9,1030285,59,61,82,F,0,0,0,0,509,935,0,1,1
6246634,840,2,60,101,2001,5,26,1030285,55,50,78,F,0,0,1,0,509,955,0,1,1
6359626,840,2,60,101,2015,5,30,1030285,55,68,73,F,0,1,0,2,509,930,0,1,1
6362881,840,2,60,101,2016,6,3,1030285,51,65,71,F,0,0,2,0,509,936,0,1,1
6167029,840,2,61,101,2000,6,11,1090644,69,69,87,F,0,1,0,0,505,934,1,1,1
6248059,840,2,61,101,2001,6,2,1090644,66,59,73,F,0,0,0,2,505,905,0,1,1
6166780,840,2,63,101,2000,5,24,980696,46,72,76,F,0,2,1,2,512,930,0,1,1
6240923,840,2,63,101,2001,5,23,980696,49,51,70,F,0,1,0,0,512,946,0,1,1
6360727,840,2,63,101,2016,6,2,1160379,60,74,85,F,0,0,2,1,516,921,0,1,1
6166783,840,2,65,101,2000,6,3,1140396,62,74,80,F,0,1,2,2,504,942,1,1,1
6242206,840,2,65,101,2001,5,28,1140396,59,70,83,F,0,1,2,0,504,955,1,1,1
6359747,840,2,65,101,2015,5,23,1140396,61,57,76,F,0,3,0,0,504,940,0,1,1
6167034,840,2,66,101,2000,5,29,990316,49,65,76,F,0,3,0,0,515,929,0,1,1
6248063,840,2,66,101,2001,5,31,990316,45,74,80,F,1,2,4,2,515,935,0,1,1
6360141,840,2,66,101,2015,5,29,990316,45,70,74,F,1,1,2,0,515,912,0,1,1
6370497,840,2,66,101,2016,5,24,990316,46,65,77,F,1,1,1,0,515,932,0,1,1
6246427,840,2,67,101,2000,5,30,1090720,48,61,78,F,0,3,0,0,511,924,0,1,1
6246429,840,2,67,101,2001,6,3,1090720,59,77,89,F,2,2,2,1,511,930,1,1,1
6167261,840,2,68,101,2000,5,31,1150599,70,70,81,F,0,1,1,0,507,905,0,1,1
6246354,840,2,68,101,2001,5,27,1150599,65,65,80,F,0,1,2,1,507,911,0,1,1
6360010,840,2,68,101,2015,6,10,1020450,52,69,84,F,0,1,0,2,507,1037,0,1,1
6167433,840,2,69,101,2000,6,8,980598,43,58,88,F,0,1,0,0,515,950,1,1,1
6246433,840,2,69,101,2001,7,4,1160141,41,78,82,F,2,2,1,1,558,1124,0,0,0
6166787,840,2,70,101,2000,6,10,1020228,36,68,68,F,0,1,0,0,517,927,1,1,1
6246642,840,2,70,101,2001,6,3,1020228,43,76,75,F,3,2,1,1,519,935,1,1,1
6370499,840,2,70,101,2016,6,12,990316,44,79,83,F,0,1,0,2,517,920,0,1,1
6167039,840,2,71,101,2000,6,11,1120394,50,69,85,F,0,0,0,0,502,933,1,1,1
6248068,840,2,71,101,2001,6,3,1120394,62,64,75,F,0,0,1,5,503,955,1,1,1
6359341,840,2,71,101,2015,6,3,1120638,52,61,61,F,2,2,0,2,540,1100,1,0,0
6166790,840,2,72,101,2000,6,17,1000145,65,70,80,F,0,1,2,1,502,919,0,1,1
6246646,840,2,72,101,2001,6,9,1040624,60,17,24,C,1,3,1,1,502,1011,0,1,1
6357721,840,2,72,101,2015,6,14,1030697,66,75,85,F,1,1,1,1,502,928,0,1,1
6361825,840,2,72,101,2016,6,5,1030697,67,61,72,F,0,1,2,2,502,929,0,1,1
6358096,840,2,73,101,2015,6,7,1190801,61,21,27,C,1,2,1,0,502,1005,1,1,1
6361512,840,2,73,101,2016,5,29,1190801,62,20,26,C,0,2,2,1,506,1005,1,1,1
6166793,840,2,102,101,2000,6,10,1090644,59,71,86,F,1,1,0,0,506,1022,1,1,1
6246648,840,2,102,101,2001,6,22,990176,57,67,76,F,0,1,0,2,506,944,0,1,1
6357062,840,2,102,101,2015,5,22,1030191,63,50,68,F,1,2,0,0,506,944,0,1,1
6362147,840,2,102,101,2016,6,12,1030191,65,71,85,F,0,1,0,0,506,951,0,1,1
6167436,840,2,105,101,2000,6,10,1040438,54,62,86,F,0,2,0,0,500,1015,1,1,1
6246436,840,2,105,101,2001,6,3,1040438,57,61,74,F,0,2,0,1,500,1008,0,1,1
6359667,840,2,105,101,2015,5,25,1040438,63,70,72,F,2,4,2,2,518,1030,0,1,1
6363651,840,2,105,101,2016,6,12,1040438,59,76,90,F,0,1,0,0,523,1045,0,1,1
6167263,840,2,109,101,2000,6,8,1150772,55,14,22,C,0,3,1,0,458,906,1,1,1
6246358,840,2,109,101,2001,6,13,1150772,62,17,27,C,0,2,0,0,458,914,1,1,1
6357613,840,2,109,501,2015,5,28,1150772,65,67,74,F,0,0,2,2,458,911,0,1,0
6361712,840,2,109,101,2016,6,1,1150772,66,67,78,F,0,1,1,0,458,904,0,1,1
6166796,840,2,111,101,2000,6,4,1040614,67,71,73,F,0,0,5,2,501,1105,1,1,1
6240926,840,2,111,101,2001,6,10,1040614,65,65,82,F,0,2,4,1,505,950,1,1,1
6358607,840,2,111,101,2015,6,6,1040614,70,67,86,F,1,2,1,1,501,1035,1,1,1
6363108,840,2,111,101,2016,5,26,1040614,64,67,85,F,2,1,1,1,501,1028,1,1,1
6167265,840,2,140,101,2000,6,8,1180052,59,20,29,C,0,2,0,1,521,922,0,1,1
6246363,840,2,140,101,2001,5,30,1180052,56,23,29,C,0,1,1,1,521,911,0,1,1
6360238,840,2,140,101,2015,6,27,981224,47,82,85,F,2,2,1,1,533,1022,1,1,1
6358908,840,2,141,101,2015,5,31,1080374,50,73,83,F,0,0,1,0,517,931,1,1,1
6361101,840,2,141,101,2016,5,29,1080374,51,69,83,F,1,0,1,0,517,920,1,1,1
6167267,840,2,142,101,2000,6,10,1070184,57,69,81,F,0,2,0,0,515,926,0,1,1
6246367,840,2,142,101,2001,6,16,1070184,55,69,79,F,0,2,1,0,517,918,0,1,1
6359579,840,2,142,101,2015,6,28,1050067,48,75,78,F,0,0,0,2,521,1000,1,1,1
6166799,840,2,156,101,2000,5,27,1030285,53,71,83,F,0,2,1,2,505,926,0,1,1
6246652,840,2,156,101,2001,6,2,1030285,61,48,78,F,0,0,0,2,505,941,0,1,1
6359705,840,2,156,101,2015,5,31,1030285,58,67,74,F,0,0,0,2,505,937,0,1,1
6363148,840,2,156,101,2016,6,5,1030285,55,66,81,F,0,0,1,1,505,942,0,1,1
6246638,840,2,162,101,2001,6,15,990176,71,69,81,F,0,2,2,2,504,928,0,1,1
6360205,840,2,162,101,2015,5,29,990176,74,66,76,F,1,0,2,2,501,938,0,1,1
6361109,840,2,162,101,2016,6,9,990176,73,59,76,F,1,2,0,1,501,935,0,1,1
6167440,840,2,164,101,2000,6,17,1140372,56,70,78,F,0,2,2,2,508,929,1,1,1
6246440,840,2,164,101,2001,5,27,1140372,62,63,81,F,0,1,2,1,508,1011,1,1,1
6359745,840,2,164,101,2015,5,30,1140396,56,63,79,F,0,3,0,0,508,1020,0,1,1
6167269,840,2,201,101,2000,6,3,1090644,69,65,83,F,0,2,2,2,510,940,0,1,1
6246371,840,2,201,101,2001,6,9,1090644,68,71,86,F,0,1,2,1,510,927,0,1,1
6359813,840,2,201,101,2015,5,29,1151241,60,68,71,F,2,1,2,2,510,1009,0,1,1
6363041,840,2,201,101,2016,5,27,1151241,57,68,79,F,0,1,2,2,510,1022,0,1,1
6166802,840,2,204,101,2000,7,2,1150768,49,69,73,F,0,0,0,0,502,858,0,0,0
6246656,840,2,204,101,2001,6,30,1150768,43,74,81,F,0,1,4,2,506,908,0,1,1
6357671,840,2,204,101,2015,6,7,1010222,50,68,83,F,0,0,0,0,509,1102,0,1,1
6362622,840,2,204,101,2016,6,21,1010222,50,71,82,F,0,0,0,0,502,837,0,1,1
6166805,840,2,205,101,2000,5,31,980696,55,64,74,F,0,2,0,0,513,950,0,1,1
6246660,840,2,205,101,2001,6,1,980696,46,69,75,F,2,2,5,2,515,952,0,1,1
6357035,840,2,205,101,2015,5,18,1080658,55,70,75,F,0,0,2,1,513,930,1,1,1
6360647,840,2,205,101,2016,5,15,1080658,53,52,64,F,1,3,0,0,516,955,0,1,1
6166808,840,2,207,101,2000,6,11,1040438,54,62,89,F,0,1,0,0,510,1015,0,1,1
6246664,840,2,207,101,2001,6,10,1040438,54,63,78,F,0,2,1,1,507,1006,0,1,1
6359632,840,2,207,101,2015,6,14,1040438,62,70,87,F,0,2,0,1,516,1100,0,1,1
6167043,840,2,208,101,2000,6,15,1090722,51,70,90,F,1,2,0,2,530,1030,1,1,1
6248073,840,2,208,101,2001,6,22,990578,44,71,84,F,1,3,2,5,505,845,0,0,0
6361761,840,2,208,101,2016,6,3,1070595,59,67,80,F,2,1,0,1,505,935,1,1,1
6166812,840,2,209,101,2000,6,4,1140013,65,67,77,F,0,0,1,2,501,1012,0,1,1
6246666,840,2,209,101,2001,6,3,1140013,67,69,82,F,0,1,2,0,501,1010,0,1,1
6360371,840,2,209,101,2015,6,17,1060373,59,74,85,F,0,0,0,0,501,1030,0,1,1
6362863,840,2,209,101,2016,6,10,1060373,64,63,88,F,0,1,1,1,515,1040,0,1,1
6167444,840,2,210,101,2000,7,2,1040541,38,65,75,F,0,0,0,0,512,907,0,0,0
6361686,840,2,210,101,2016,6,3,1160379,56,71,85,F,0,0,0,1,512,924,0,1,1
6167047,840,2,211,101,2000,6,5,1150769,54,68,93,F,0,0,2,5,508,1400,1,0,0
6248076,840,2,211,101,2001,6,2,1150769,66,66,78,F,0,0,1,0,508,947,1,1,1
6358986,840,2,211,101,2015,6,15,1020446,46,72,82,F,0,1,1,1,510,940,0,1,1
6360835,840,2,211,101,2016,5,24,1020446,50,55,82,F,0,1,1,0,510,935,0,1,1
6167448,840,2,212,101,2000,6,10,980683,65,69,80,F,0,0,0,1,507,922,1,1,1
6241948,840,2,212,101,2001,6,2,980683,62,68,74,F,1,2,1,1,504,922,1,1,1
6359592,840,2,212,101,2015,5,17,1140543,60,53,94,F,2,1,2,1,504,1015,1,1,1
6363353,840,2,212,101,2016,5,22,1140543,56,61,80,F,0,3,0,0,504,1015,1,1,1
6167051,840,2,213,101,2000,5,21,1020285,58,69,85,F,0,1,5,1,525,1340,1,0,0
6248080,840,2,213,101,2001,5,20,1020285,52,73,84,F,0,1,1,1,536,1221,1,0,0
6360525,840,2,213,101,2015,5,24,1040916,51,69,79,F,1,3,1,2,522,951,0,1,1
6360516,840,2,213,101,2016,5,29,1040916,55,68,83,F,0,1,0,0,519,944,0,1,1
6166815,840,2,214,101,2000,5,30,990316,50,62,77,F,0,2,0,0,515,947,0,1,1
6246670,840,2,214,101,2001,6,3,990316,42,75,82,F,2,3,2,2,515,942,0,1,1
6360149,840,2,214,101,2015,6,11,990316,51,72,83,F,0,1,1,2,515,927,0,1,1
6370500,840,2,214,101,2016,6,1,990316,51,72,80,F,1,1,0,0,515,933,0,1,1
6166821,840,2,215,101,2000,6,2,1070233,62,71,85,F,0,2,0,1,511,1001,0,1,1
6359500,840,2,215,101,2015,5,31,981253,52,65,85,F,0,0,0,0,514,1035,1,1,1
6361835,840,2,215,101,2016,5,29,981253,50,69,95,F,0,0,1,0,511,953,1,1,1
6166824,840,2,216,101,2000,6,16,1040541,55,72,73,F,0,2,0,2,507,939,1,1,1
6357148,840,2,216,101,2015,5,31,1160379,63,66,83,F,0,1,0,1,507,933,0,1,1
6361656,840,2,216,101,2016,5,24,1160379,64,56,84,F,0,0,0,1,507,915,0,1,1
6166827,840,2,217,101,2000,6,21,1120351,34,84,90,F,1,1,0,1,522,954,1,1,1
6246674,840,2,217,101,2001,6,27,1120351,36,78,82,F,0,0,2,2,521,932,NULL,1,1
